lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet1	sSet2	sSet3	sSet1Changed	sSet2Changed	sSet3Changed	sDescription	sRemarks	-1	Open water	shortName	_InclTran_	_InclPrim_	_InclPhytS_	_InclBed_	_InclWeb_	_InclMarsh_	Duflow																																									
"=IF(COUNTBLANK(A13)<1,ROW()-2,-1)"	0	0	0	0	_InclSeason_	0	0	1	1	1	1	1	=J12=K12	=J12=L12	=J12=M12	Switch	Module	-1	Include_season_module	IncSeson	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A14)<1,ROW()-2,-1)"	0	0	0	0	_InclStrat_	0	0	0	0	0	1	1	=J13=K13	=J13=L13	=J13=M13	Switch	Module	-1	Include_Stratification	InclSrat	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A15)<1,ROW()-2,-1)"	0	0	0	0	_InclLat_	0	0	0	1	1	1	1	=J14=K14	=J14=L14	=J14=M14	Switch	Module	-1	If_T_include_latitude_module	InclLat	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A16)<1,ROW()-2,-1)"	0	0	0	0	_InclSurf_	0	0	0	0	0	0	1	=J15=K15	=J15=L15	=J15=M15	Switch	Module	-1	Include_Surface_layer	InclSurf	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A17)<1,ROW()-2,-1)"	0	0	0	0	_InclNfix_	0	0	0	0	0	1	1	=J16=K16	=J16=L16	=J16=M16	Switch	Module	-1	Include_nitrogen_fixation	InclNfix	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A18)<1,ROW()-2,-1)"	0	0	0	0	_calcMixDepth_	0	0	0	1	1	1	1	=J17=K17	=J17=L17	=J17=M17	Switch	Module	-1	If_T_calculate_mixing_depth_if_F_use_constant	calixpth	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A19)<1,ROW()-2,-1)"	0	0	0	0	_calcQEv_	0	0	0	1	1	1	1	=J18=K18	=J18=L18	=J18=M18	Switch	Module	-1	If_T_calculate_evaporation_based_on_Thornthwaite_1984	calcQEv	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A20)<1,ROW()-2,-1)"	0	0	0	0	_DayStart_	_d_	0	0	0	0	0	0	=J19=K19	=J19=L19	=J19=M19	Invoer	Forcing	-1	Day_of_year_to_start_model	DayStart	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A21)<1,ROW()-2,-1)"	0	0	0	0	_ReadDepthW_	0	0	0	0	0	0	0	=J20=K20	=J20=L20	=J20=M20	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_water_temperature_otherwise_sinus	ReadDW	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A22)<1,ROW()-2,-1)"	0	0	0	0	_ReadTemp_	0	0	0	0	0	0	0	=J21=K21	=J21=L21	=J21=M21	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_water_temperature_otherwise_sinus	ReadTemp	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A23)<1,ROW()-2,-1)"	0	0	0	0	_ReadStrat_	0	0	0	0	0	0	0	=J22=K22	=J22=L22	=J22=M22	Switch	Forcing	-1	If_TRUE_use_external_time-series_of_stratification_period	ReadSrat	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A24)<1,ROW()-2,-1)"	0	0	0	0	_ReadLOut_	0	0	0	0	0	0	0	=J23=K23	=J23=L23	=J23=M23	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_light_otherwise_sinus	ReadLOut	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A25)<1,ROW()-2,-1)"	0	0	0	0	_ReadVWind_	0	0	0	0	0	0	0	=J24=K24	=J24=L24	=J24=M24	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_wind_otherwise_constant	ReadVind	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A26)<1,ROW()-2,-1)"	0	0	0	0	_ReadQIn_	0	0	0	0	0	0	0	=J25=K25	=J25=L25	=J25=M25	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_inflow_otherwise_constant	ReadQIn	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A27)<1,ROW()-2,-1)"	0	0	0	0	_ReadQOutEpi_	0	0	0	0	0	0	0	=J26=K26	=J26=L26	=J26=M26	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_outflow_epilimnion_otherwise_constant	ReaQOutE	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A28)<1,ROW()-2,-1)"	0	0	0	0	_ReadQOutHyp_	0	0	0	0	0	0	0	=J27=K27	=J27=L27	=J27=M27	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_outflow_hypolimnion_otherwise_constant	ReaQOutH	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A29)<1,ROW()-2,-1)"	0	0	0	0	_ReadQEv_	0	0	0	0	0	0	0	=J28=K28	=J28=L28	=J28=M28	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_evaporation_otherwise_constant	ReadQEv	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A30)<1,ROW()-2,-1)"	0	0	0	0	_ReadPLoad_	0	0	0	1	1	1	1	=J29=K29	=J29=L29	=J29=M29	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_P_loading_otherwise_constant	ReadPoad	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A31)<1,ROW()-2,-1)"	0	0	0	0	_ReadNLoad_	0	0	0	0	0	0	0	=J30=K30	=J30=L30	=J30=M30	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_N_loading_otherwise_constant	ReadNoad	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A32)<1,ROW()-2,-1)"	0	0	0	0	_ReadNutFrac_	0	0	0	0	0	0	0	=J31=K31	=J31=L31	=J31=M31	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_loading_with_diff_nutrient_fractions	ReaNurac	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A33)<1,ROW()-2,-1)"	0	0	0	0	_ReadPLoadPhyt_	0	0	0	0	0	0	0	=J32=K32	=J32=L32	=J32=M32	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_P_loading_algal_input_otherwise_constant	ReaPLadP	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A34)<1,ROW()-2,-1)"	0	0	0	0	_ReadDLoadDet_	0	0	0	0	0	0	0	=J33=K33	=J33=L33	=J33=M33	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_DDet_loading_otherwise_constant	ReaDLdDe	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A35)<1,ROW()-2,-1)"	0	0	0	0	_ReadVegShade_	0	0	0	0	0	0	0	=J34=K34	=J34=L34	=J34=M34	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_shading_percentage_of_plants_otherwise_constant	ReaVSade	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A36)<1,ROW()-2,-1)"	0	0	0	0	_UseExpVeg_	0	0	1	1	1	1	1	=J35=K35	=J35=L35	=J35=M35	Switch	Forcing	-1	If_TRUE_use_an_exponential_function_for_vegetation_else_use_a_power_function	UsePoerV	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A37)<1,ROW()-2,-1)"	0	0	0	0	_UsePhotVeg_	0	0	1	1	1	1	1	=J36=K36	=J36=L36	=J36=M36	Switch	Forcing	-1	If_TRUE_use_a_photoperiod_cue_to_determine_reallocation_from_winter_to_summer_mode_if_FALSE_use_temperature	UsePhotV	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A38)<1,ROW()-2,-1)"	0	0	0	0	_UseLWinVeg_	0	0	1	1	1	1	1	=J37=K37	=J37=L37	=J37=M37	Switch	Forcing	-1	If_TRUE_use_a_light_integration_cue_to_initiate_overwintering_of_vegetation_otherwise_use_cDayWinVeg	UseLWinV	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A39)<1,ROW()-2,-1)"	0	0	0	0	_UseVegHeight_	0	0	1	0	0	0	0	=J38=K38	=J38=L38	=J38=M38	Switch	Forcing	-1	If_TRUE_use_a_dynamic_estimation_for_vegetation_height_based_on_stem_densities_and_biomass_otherwise_use_cVegHeight_ONLY_USE_IN_SPATIALLY_HETEROGENEOUS_MODELLING	UseVHe	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A40)<1,ROW()-2,-1)"	0	0	0	0	_ReadDLoadIM_	0	0	0	0	0	0	0	=J39=K39	=J39=L39	=J39=M39	Switch	Forcing	-1	If_TRUE_use_measured_time-series_of_DIM_loading_otherwise_constant	ReaDLdIM	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A41)<1,ROW()-2,-1)"	0	0	0	0	_UseSeasonLoad_	0	0	0	0	0	0	0	=J40=K40	=J40=L40	=J40=M40	Switch	Forcing	-1	If_TRUE_use_different_inflow_and_loading_for_summer_and_winter_periods	Useasoad	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A42)<1,ROW()-2,-1)"	0	0	0	0	_UsePulseLoad_	0	0	0	0	0	0	0	=J41=K41	=J41=L41	=J41=M41	Switch	Forcing	-1	If_TRUE_use_a_pulse-wise_nutrient_loading	Uselsoad	0	0	0	0	0	0	dummy																																									
"=IF(COUNTBLANK(A43)<1,ROW()-2,-1)"	0	0	0	0	_mDepthW_	_m_	0	0	0.1	0.1	0.1	0.1	=J42=K42	=J42=L42	=J42=M42	Parameter	Water	-1	Measured_water_depth	mDepthW	0	0	0	0	0	1	PARM																																									
"=IF(COUNTBLANK(A44)<1,ROW()-2,-1)"	0	0	0	0	_mMixDepth_	_m_	0	0	4.5	4.5	4.5	txt/cDepthMix.txt	TRUE	TRUE	FALSE	Input_factor	Depth	-1	Mixing_depth_between_epilimnion_and_hypolymnion	mMixDW	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A45)<1,ROW()-2,-1)"	0	0	0	0	_mTempEpi_	_oC_	0	0	0	0	0	0	=J44=K44	=J44=L44	=J44=M44	Optional_input_table	Forcing	-1	Measured_time-series_of_water_temperature_Epilimion	mTempE	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A46)<1,ROW()-2,-1)"	0	0	0	0	_mTempHyp_	_oC_	0	0	0	0	0	0	=J45=K45	=J45=L45	=J45=M45	Optional_input_table	Forcing	-1	Measured_time-series_of_water_temperature_Hypolimnion	mTempH	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A47)<1,ROW()-2,-1)"	0	0	0	0	_mStrat_	0	0	0	0	0	0	0	=J46=K46	=J46=L46	=J46=M46	Optional_input_table	Forcing	-1	External_time-series_of_stratification_period_mstrat_equals_1_is_stratification_and_mstrat_equals_0_is_mixing	mStrat	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A48)<1,ROW()-2,-1)"	0	0	0	0	_mLOut_	_J_*_s_^-1*_m_^-2	0	0	0	0	0	0	=J47=K47	=J47=L47	=J47=M47	Optional_input_table	Forcing	-1	Measured_time-series_of_light	mLOut	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A49)<1,ROW()-2,-1)"	0	0	0	0	_mVegShade_	0	0	0	0	0	0	0	=J48=K48	=J48=L48	=J48=M48	Optional_input_table	Forcing	-1	Measured_time-series_of_fraction_shading_on_plants	mVShade	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A50)<1,ROW()-2,-1)"	0	0	0	0	_mVWind_	_m_*_s^-1_	0	0	0	0	0	0	=J49=K49	=J49=L49	=J49=M49	Optional_input_table	Forcing	-1	Measured_time-series_of_wind	mVWind	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A51)<1,ROW()-2,-1)"	0	0	0	0	_mQIn_	_mm_*_d_^-1	0	0	20	20	20	20	=J50=K50	=J50=L50	=J50=M50	Optional_input_table	Forcing	-1	Measured_time-series_of_inflow	mQIn	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A52)<1,ROW()-2,-1)"	0	0	0	0	_mQOutEpi_	_mm_*_d_^-1	0	0	0	0	0	0	=J51=K51	=J51=L51	=J51=M51	Optional_input_table	Forcing	-1	Measured_time-series_of_outflow_epilimnion	mQOutEpi	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A53)<1,ROW()-2,-1)"	0	0	0	0	_mQOutHyp_	_mm_*_d_^-1	0	0	0	0	0	0	=J52=K52	=J52=L52	=J52=M52	Optional_input_table	Forcing	-1	Measured_time-series_of_outflow_hypolimnion	mQOutHyp	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A54)<1,ROW()-2,-1)"	0	0	0	0	_mQEv_	_mm_*_d_^-1	0	0	0	0	0	0	=J53=K53	=J53=L53	=J53=M53	Optional_input_table	Forcing	-1	Measured_time-series_of_evaporation	mQEv	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A55)<1,ROW()-2,-1)"	0	0	0	0	_mPLoad_	_gP_*_m_^-2*_d_^-1	0.0001	0.005	0.001	0.001	0.001	0.001	=J54=K54	=J54=L54	=J54=M54	Optional_input_table	Forcing	-1	Measured_time-series_of_P_loading	mPLoad	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A56)<1,ROW()-2,-1)"	0	0	0	1	_mPLoadMult_	0	0.1	10	1	1	1	1	=J55=K55	=J55=L55	=J55=M55	Optional_input_table	Forcing	-1	Multiplier_for_measured_time-series_of_P_loading	mPLoadMu	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A57)<1,ROW()-2,-1)"	0	0	0	0	_mPLoadPO4_	_gP_*_m_^-2*_d_^-1	0	0	0	0	0	0	=J56=K56	=J56=L56	=J56=M56	Optional_input_table	Forcing	-1	Measured_time-series_of_PO4_loading	mPLoaPO4	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A58)<1,ROW()-2,-1)"	0	0	0	0	_mPLoadOrg_	_gP_*_m_^-2*_d_^-1	0	0	0	0	0	0	=J57=K57	=J57=L57	=J57=M57	Optional_input_table	Forcing	-1	Measured_time-series_of_loading_P_bound_to_org_matter	mPLoaOrg	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A59)<1,ROW()-2,-1)"	0	0	0	0	_mPLoadPhytTot_	_gP_*_m_^-2*_d_^-1	0	0	0	0	0	0	=J58=K58	=J58=L58	=J58=M58	Optional_input_table	Forcing	-1	Measured_time-series_of_P_loading_algal_input	mPLoaPh	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A60)<1,ROW()-2,-1)"	0	0	0	0	_mNLoad_	_gN_*_m_^-2*_d_^-1	0	0	0.01	0.01	0.01	0.01	=J59=K59	=J59=L59	=J59=M59	Optional_input_table	Forcing	-1	Measured_time-series_of_N_loading	mNLoad	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A61)<1,ROW()-2,-1)"	0	0	0	0	_mNLoadNH4_	_gN_*_m_^-2*_d_^-1	0	0	0	0	0	0	=J60=K60	=J60=L60	=J60=M60	Optional_input_table	Forcing	-1	Measured_time-series_of_NH4_loading	mNLoaNH4	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A62)<1,ROW()-2,-1)"	0	0	0	0	_mNLoadNO3_	_gN_*_m_^-2*_d_^-1	0	0	0	0	0	0	=J61=K61	=J61=L61	=J61=M61	Optional_input_table	Forcing	-1	Measured_time-series_of_NO3_loading	mNLoaNO3	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A63)<1,ROW()-2,-1)"	0	0	0	0	_mNLoadOrg_	_gN_*_m_^-2*_d_^-1	0	0	0	0	0	0	=J62=K62	=J62=L62	=J62=M62	Optional_input_table	Forcing	-1	Measured_time-series_of_loading_N_bound_to_org_matter	mNLoaOrg	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A64)<1,ROW()-2,-1)"	0	0	0	0	_mNLoadPhytTot_	_gN_*_m_^-2*_d_^-2	0	0	0	0	0	0	=J63=K63	=J63=L63	=J63=M63	Optional_input_table	Forcing	-1	Measured_time-series_of_loading_N_bound_to_phytoplankton	mNLoaPh	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A65)<1,ROW()-2,-1)"	0	0	0	0	_mDLoadDet_	_gDW_*_m_^-2*_d_^-1	0	0	0	0	0	0	=J64=K64	=J64=L64	=J64=M64	Optional_input_table	Forcing	-1	Measured_time-series_of_Detritus_loading	mDLoadDe	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A66)<1,ROW()-2,-1)"	0	0	0	0	_mDLoadIM_	_gDW_*_m_^-2*_d_^-1	0	0	0	0	0	0	=J65=K65	=J65=L65	=J65=M65	Optional_input_table	Forcing	-1	Measured_time-series_of_loading_of_DW_of_inorg_matter	mDLoadIM	0	0	0	0	0	0	XT																																									
"=IF(COUNTBLANK(A67)<1,ROW()-2,-1)"	0	0	0	0	_StartTime_	_d_	0	0	0	0	0	0	=J66=K66	=J66=L66	=J66=M66	Invoer	Runtime	-1	Day_of_the_year_that_the_model_run_will_start	StTime	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A68)<1,ROW()-2,-1)"	0	0	0	0	_EndTime_	_d_	0	0	365	365	365	365	=J67=K67	=J67=L67	=J67=M67	Invoer	General	-1	(=1_year)	EndTime	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A69)<1,ROW()-2,-1)"	0	0	0	0	_YearZero_	_y_	0	0	0	0	0	0	=J68=K68	=J68=L68	=J68=M68	Parameter	Runtime	-1	Year_number_of_start_of_calculation_Note_also_Day_no_1_=_1_Jan_of_this_year	YearZero	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A70)<1,ROW()-2,-1)"	0	0	0	0	_cDepthWInit0_	_m_	0	0	2	2	15	15	=J69=K69	=J69=L69	=J69=M69	Switch	Dredging	-1	Initial_average_depth_of_lake	cDepthW0	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A71)<1,ROW()-2,-1)"	0	0	0	0	_cMinDepthHypEpi_	_m_	0	0	0.01	0.01	0.01	0.01	=J70=K70	=J70=L70	=J70=M70	Switch	Dredging	-1	Minimum_hypolimnion_depth	cMnephHE	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A72)<1,ROW()-2,-1)"	0	0	0	0	_cFetch_	_m_	800	1200	1000	1000	1000	1000	=J71=K71	=J71=L71	=J71=M71	Input_factor	Resuspension	-1	Wind_fetch	cFetch	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A73)<1,ROW()-2,-1)"	0	0	0	0	_fMarsh_	_m_^2*_m_^-2	0	0	0	0	0	0	=J72=K72	=J72=L72	=J72=M72	Input_factor	Marsh	-1	Relative_marsh_area_per_lake_area	fMarsh	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A74)<1,ROW()-2,-1)"	0	0	0	0	_fLutum_	0	0	0	0.03	0.03	0.03	0.03	=J73=K73	=J73=L73	=J73=M73	Input_factor	Inorg._matter	-1	Lutum_content_of_inorg_matter	fLutum	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A75)<1,ROW()-2,-1)"	0	0	0	0	_kExchW_	_d_^-1	0	0	1	1	1	1	=J74=K74	=J74=L74	=J74=M74	Input_factor	Inorg._matter	-1	Rate_of_water_exchange_between_epilimnion_and_hypolimnion_in_case_of_water_level_difference_from_mixing_depth	kExchW	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A76)<1,ROW()-2,-1)"	0	0	0	0	_kExchMaxW_	_m_^2*_d_^-1	0	0	0.0001728	0.0001728	0.0001728	0.0001728	=J75=K75	=J75=L75	=J75=M75	Input_factor	Inorg._matter	-1	Maximum_diffusive_exchange_rate_of_water_between_epilimnion_and_hypolimnion	kExchMxW	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A77)<1,ROW()-2,-1)"	0	0	0	0	_cAMix_	_m_^-_cBMix_*_m_	0	0	0.569	0.569	0.569	0.569	=J76=K76	=J76=L76	=J76=M76	Input_factor	Depth	-1	Factor_for_mixing_depth_between_epilimnion_and_hypolymnion	cAMix	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A78)<1,ROW()-2,-1)"	0	0	0	0	_cBMix_	0	0	0	0.336	0.336	0.336	0.336	=J77=K77	=J77=L77	=J77=M77	Input_factor	Depth	-1	Factor_for_mixing_depth_between_epilimnion_and_hypolymnion	cBMix	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A79)<1,ROW()-2,-1)"	0	0	0	0	_cfHyp_	_m_^2*_m_^-2	0	0	1	1	1	1	=J78=K78	=J78=L78	=J78=M78	Input_factor	Inorg._matter	-1	Relative_hypolimnion_area_where_exchange_is_50_percent	cfH	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A80)<1,ROW()-2,-1)"	0	0	0	0	_fFeDIM_	_gFe_*_gDW_^-1	0	0	0.003	0.003	0.003	0.003	=J79=K79	=J79=L79	=J79=M79	Input_factor	Inorg._matter	-1	Fe_content_of_inorg_matter	fFeDIM	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A81)<1,ROW()-2,-1)"	0	0	0	0	_fAlDIM_	_gAl_*_gDW_^-1	0	0	0.003	0.003	0.003	0.003	=J80=K80	=J80=L80	=J80=M80	Input_factor	Inorg._matter	-1	Al_content_of_inorg_matter	fAlDIM	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A82)<1,ROW()-2,-1)"	0	0	0	0	_fVegShade_	0	0	0	0	0	0	0	=J81=K81	=J81=L81	=J81=M81	Parameter	Light	-1	Fraction_reduction_of_light_reaching_plants	fVShade	0	0	0	0	0	1	PARM																																									
"=IF(COUNTBLANK(A83)<1,ROW()-2,-1)"	0	0	0	0	_cTmAveEpi_	_oC_	0	0	15	15	15	15	=J82=K82	=J82=L82	=J82=M82	Input_factor	Forcing	-1	Average_water_temperature_Epilimnion	cTmAveE	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A84)<1,ROW()-2,-1)"	0	0	0	0	_cTmVarEpi_	_oC_	0	0	10	10	10	10	=J83=K83	=J83=L83	=J83=M83	Input_factor	Forcing	-1	Annual_water_temperature_variation_Epilimnion	cTmVarE	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A85)<1,ROW()-2,-1)"	0	0	0	0	_cTmAveHyp_	_oC_	0	0	5	5	5	5	=J84=K84	=J84=L84	=J84=M84	Input_factor	Forcing	-1	Average_water_temperature_Hypolimnion	cTmAveH	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A86)<1,ROW()-2,-1)"	0	0	0	0	_cTmVarHyp_	_oC_	0	0	4	4	4	4	=J85=K85	=J85=L85	=J85=M85	Input_factor	Forcing	-1	Annual_water_temperature_variation_Hypolimnion	cTmVarH	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A87)<1,ROW()-2,-1)"	0	0	0	0	_cStratTm_	_oC_	0	0	1	1	1	1	=J86=K86	=J86=L86	=J86=M86	Input_factor	Forcing	-1	Temperature_difference_for_stratification	cStratTm	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A88)<1,ROW()-2,-1)"	0	0	0	0	_cTimeLag_	_d_	0	0	40	40	40	40	=J87=K87	=J87=L87	=J87=M87	Input_factor	Forcing	-1	Time_lag_for_temperature	cTimeLag	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A89)<1,ROW()-2,-1)"	0	0	0	0	_cVWind_	_m_*_s^-1_	0	0	2	2	5	5	=J88=K88	=J88=L88	=J88=M88	Input_factor	Forcing	-1	Average_wind_speed	cVWind	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A90)<1,ROW()-2,-1)"	0	0	0	0	_cQInf_	_mm_*_d_^-1	0	0	0	0	0	0	=J89=K89	=J89=L89	=J89=M89	Input_factor	Forcing	-1	Infiltration_rate	cQInf	0	0	0	0	0	0	PARM																																									
"=IF(COUNTBLANK(A91)<1,ROW()-2,-1)"	0	0	0	0	_cPBackLoad_	_gP_*_m_^-2*_d_^-1	0	0	0	0	0	0	=J90=K90	=J90=L90	=J90=M90	Input_factor	Forcing	-1	Background_P_loading	cPBckoad	0	0	0	0	0	0	PARM																																									
