lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sTargetValue	sEquation	sDescription	sRemark	-1	code versie 5.09.00.00	code versie 5.09.00.01	code versie 5.09.00.02	code versie 5.09.00.03	v00-v01	v00-v02	v00-v03	derivNames	short_derivName	Duflow																																																	
10	0	0	0	0	_oNH4WHyp_	_gN_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oNH4WHyp_= _IF_ _sNH4WHyp_ _GT_ _NearZero_ _THEN_ _sNH4WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNH4WHyp_= _IF_ _sNH4WHyp_ _GT_ _NearZero_ _THEN_ _sNH4WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNH4WHyp_= _IF_ _sNH4WHyp_ _GT_ _NearZero_ _THEN_ _sNH4WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNH4WHyp_= _IF_ _sNH4WHyp_ _GT_ _NearZero_ _THEN_ _sNH4WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	TRUE	TRUE	TRUE	_oNH4WH_	oNH4WH	oNH4WH																																																	
11	0	0	0	0	_oNO3WHyp_	_gN_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oNO3WHyp_= _IF_ _sNO3WHyp_ _GT_ _NearZero_ _THEN_ _sNO3WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNO3WHyp_= _IF_ _sNO3WHyp_ _GT_ _NearZero_ _THEN_ _sNO3WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNO3WHyp_= _IF_ _sNO3WHyp_ _GT_ _NearZero_ _THEN_ _sNO3WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNO3WHyp_= _IF_ _sNO3WHyp_ _GT_ _NearZero_ _THEN_ _sNO3WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	TRUE	TRUE	TRUE	_oNO3WH_	oNO3WH	oNO3WH																																																	
12	0	0	0	0	_oPO4WHyp_	_gP_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oPO4WHyp_= _IF_ _sPO4WHyp_ _GT_ _NearZero_ _THEN_ _sPO4WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPO4WHyp_= _IF_ _sPO4WHyp_ _GT_ _NearZero_ _THEN_ _sPO4WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPO4WHyp_= _IF_ _sPO4WHyp_ _GT_ _NearZero_ _THEN_ _sPO4WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPO4WHyp_= _IF_ _sPO4WHyp_ _GT_ _NearZero_ _THEN_ _sPO4WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	TRUE	TRUE	TRUE	_oPO4WH_	oPO4WH	oPO4WH																																																	
13	0	0	0	0	_oPAIMWHyp_	_gP_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oPAIMWHyp_= _IF_ _sPAIMWHyp_ _GT_ _NearZero_ _THEN_ _sPAIMWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPAIMWHyp_= _IF_ _sPAIMWHyp_ _GT_ _NearZero_ _THEN_ _sPAIMWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPAIMWHyp_= _IF_ _sPAIMWHyp_ _GT_ _NearZero_ _THEN_ _sPAIMWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPAIMWHyp_= _IF_ _sPAIMWHyp_ _GT_ _NearZero_ _THEN_ _sPAIMWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	TRUE	TRUE	TRUE	_oPAIMWH_	oPAIMWH	oPAIMWH																																																	
14	0	0	0	0	_oSiO2WHyp_	_gSi_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oSiO2WHyp_= _IF_ _sSiO2WHyp_ _GT_ _NearZero_ _THEN_ _sSiO2WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oSiO2WHyp_= _IF_ _sSiO2WHyp_ _GT_ _NearZero_ _THEN_ _sSiO2WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oSiO2WHyp_= _IF_ _sSiO2WHyp_ _GT_ _NearZero_ _THEN_ _sSiO2WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oSiO2WHyp_= _IF_ _sSiO2WHyp_ _GT_ _NearZero_ _THEN_ _sSiO2WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	TRUE	TRUE	TRUE	_oSiO2WH_	oSiO2WH	oSiO2WH																																																	
15	1	0	0	0	_oO2WHyp_	_gO2_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oO2WHyp_= _IF_ _sO2WHyp_ _GT_ _NearZero_ _THEN_ _sO2WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oO2WHyp_= _IF_ _sO2WHyp_ _GT_ _NearZero_ _THEN_ _sO2WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oO2WHyp_= _IF_ _sO2WHyp_ _GT_ _NearZero_ _THEN_ _sO2WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oO2WHyp_= _IF_ _sO2WHyp_ _GT_ _NearZero_ _THEN_ _sO2WHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	TRUE	TRUE	TRUE	_oO2WH_	oO2WH	oO2WH																																																	
16	0	0	0	0	_oDDetWHyp_	_gDW_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oDDetWHyp_= _IF_ _sDDetWHyp_ _GT_ _NearZero_ _THEN_ _sDDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oDDetWHyp_= _IF_ _sDDetWHyp_ _GT_ _NearZero_ _THEN_ _sDDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oDDetWHyp_= _IF_ _sDDetWHyp_ _GT_ _NearZero_ _THEN_ _sDDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oDDetWHyp_= _IF_ _sDDetWHyp_ _GT_ _NearZero_ _THEN_ _sDDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	TRUE	TRUE	TRUE	_oDDtWH_	oDDtWH	oDDtWH																																																	
17	0	0	0	0	_oNDetWHyp_	_gN_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oNDetWHyp_= _IF_ _sNDetWHyp_ _GT_ _NearZero_ _THEN_ _sNDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNDetWHyp_= _IF_ _sNDetWHyp_ _GT_ _NearZero_ _THEN_ _sNDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNDetWHyp_= _IF_ _sNDetWHyp_ _GT_ _NearZero_ _THEN_ _sNDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNDetWHyp_= _IF_ _sNDetWHyp_ _GT_ _NearZero_ _THEN_ _sNDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	TRUE	TRUE	TRUE	_oNDtWH_	oNDtWH	oNDtWH																																																	
18	0	0	0	0	_oPDetWHyp_	_gP_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oPDetWHyp_= _IF_ _sPDetWHyp_ _GT_ _NearZero_ _THEN_ _sPDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPDetWHyp_= _IF_ _sPDetWHyp_ _GT_ _NearZero_ _THEN_ _sPDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPDetWHyp_= _IF_ _sPDetWHyp_ _GT_ _NearZero_ _THEN_ _sPDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPDetWHyp_= _IF_ _sPDetWHyp_ _GT_ _NearZero_ _THEN_ _sPDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	TRUE	TRUE	TRUE	_oPDtWH_	oPDtWH	oPDtWH																																																	
19	0	0	0	0	_oSiDetWHyp_	_gSi_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oSiDetWHyp_= _IF_ _sSiDetWHyp_ _GT_ _NearZero_ _THEN_ _sSiDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oSiDetWHyp_= _IF_ _sSiDetWHyp_ _GT_ _NearZero_ _THEN_ _sSiDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oSiDetWHyp_= _IF_ _sSiDetWHyp_ _GT_ _NearZero_ _THEN_ _sSiDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oSiDetWHyp_= _IF_ _sSiDetWHyp_ _GT_ _NearZero_ _THEN_ _sSiDetWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	TRUE	TRUE	TRUE	_oSiDtWH_	oSiDtWH	oSiDtWH																																																	
20	0	0	0	0	_oDIMWHyp_	_gDW_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oDIMWHyp_= _IF_ _sDIMWHyp_ _GT_ _NearZero_ _THEN_ _sDIMWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oDIMWHyp_= _IF_ _sDIMWHyp_ _GT_ _NearZero_ _THEN_ _sDIMWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oDIMWHyp_= _IF_ _sDIMWHyp_ _GT_ _NearZero_ _THEN_ _sDIMWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oDIMWHyp_= _IF_ _sDIMWHyp_ _GT_ _NearZero_ _THEN_ _sDIMWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	TRUE	TRUE	TRUE	_oDIMWH_	oDIMWH	oDIMWH																																																	
21	0	0	0	0	_oDDiatWHyp_	_gDW_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oDDiatWHyp_= _IF_ _sDDiatWHyp_ _GT_ _NearZero_ _THEN_ _sDDiatWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oDDiatWHyp_= _IF_ _sDDiatWHyp_ _GT_ _NearZero_ _THEN_ _sDDiatWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oDDiatWHyp_= _IF_ _sDDiatWHyp_ _GT_ _NearZero_ _THEN_ _sDDiatWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oDDiatWHyp_= _IF_ _sDDiatWHyp_ _GT_ _NearZero_ _THEN_ _sDDiatWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	TRUE	TRUE	TRUE	_oDDiWH_	oDDiWH	oDDiWH																																																	
22	0	0	0	0	_oNDiatWHyp_	_gN_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oNDiatWHyp_= _IF_ _sNDiatWHyp_ _GT_ _NearZero_ _THEN_ _sNDiatWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNDiatWHyp_= _IF_ _sNDiatWHyp_ _GT_ _NearZero_ _THEN_ _sNDiatWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNDiatWHyp_= _IF_ _sNDiatWHyp_ _GT_ _NearZero_ _THEN_ _sNDiatWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNDiatWHyp_= _IF_ _sNDiatWHyp_ _GT_ _NearZero_ _THEN_ _sNDiatWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	TRUE	TRUE	TRUE	_oNDiWH_	oNDiWH	oNDiWH																																																	
23	0	0	0	0	_oPDiatWHyp_	_gP_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oPDiatWHyp_= _IF_ _sPDiatWHyp_ _GT_ _NearZero_ _THEN_ _sPDiatWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPDiatWHyp_= _IF_ _sPDiatWHyp_ _GT_ _NearZero_ _THEN_ _sPDiatWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPDiatWHyp_= _IF_ _sPDiatWHyp_ _GT_ _NearZero_ _THEN_ _sPDiatWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPDiatWHyp_= _IF_ _sPDiatWHyp_ _GT_ _NearZero_ _THEN_ _sPDiatWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	TRUE	TRUE	TRUE	_oPDiWH_	oPDiWH	oPDiWH																																																	
24	0	0	0	0	_oDGrenWHyp_	_gDW_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oDGrenWHyp_= _IF_ _sDGrenWHyp_ _GT_ _NearZero_ _THEN_ _sDGrenWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oDGrenWHyp_= _IF_ _sDGrenWHyp_ _GT_ _NearZero_ _THEN_ _sDGrenWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oDGrenWHyp_= _IF_ _sDGrenWHyp_ _GT_ _NearZero_ _THEN_ _sDGrenWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oDGrenWHyp_= _IF_ _sDGrenWHyp_ _GT_ _NearZero_ _THEN_ _sDGrenWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	TRUE	TRUE	TRUE	_oDGrenWH_	oDGrenWH	oDGrenWH																																																	
25	0	0	0	0	_oNGrenWHyp_	_gN_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oNGrenWHyp_= _IF_ _sNGrenWHyp_ _GT_ _NearZero_ _THEN_ _sNGrenWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNGrenWHyp_= _IF_ _sNGrenWHyp_ _GT_ _NearZero_ _THEN_ _sNGrenWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNGrenWHyp_= _IF_ _sNGrenWHyp_ _GT_ _NearZero_ _THEN_ _sNGrenWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oNGrenWHyp_= _IF_ _sNGrenWHyp_ _GT_ _NearZero_ _THEN_ _sNGrenWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	TRUE	TRUE	TRUE	_oNGrenWH_	oNGrenWH	oNGrenWH																																																	
26	0	0	0	0	_oPGrenWHyp_	_gP_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oPGrenWHyp_= _IF_ _sPGrenWHyp_ _GT_ _NearZero_ _THEN_ _sPGrenWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPGrenWHyp_= _IF_ _sPGrenWHyp_ _GT_ _NearZero_ _THEN_ _sPGrenWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPGrenWHyp_= _IF_ _sPGrenWHyp_ _GT_ _NearZero_ _THEN_ _sPGrenWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oPGrenWHyp_= _IF_ _sPGrenWHyp_ _GT_ _NearZero_ _THEN_ _sPGrenWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	TRUE	TRUE	TRUE	_oPGrenWH_	oPGrenWH	oPGrenWH																																																	
27	0	0	0	0	_oDBlueWHyp_	_gDW_*_m_^-3	0	state_auxiliary	state_auxiliary_with_error_catching	-	-1	_oDBlueWHyp_= _IF_ _sDBlueWHyp_ _GT_ _NearZero_ _THEN_ _sDBlueWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oDBlueWHyp_= _IF_ _sDBlueWHyp_ _GT_ _NearZero_ _THEN_ _sDBlueWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oDBlueWHyp_= _IF_ _sDBlueWHyp_ _GT_ _NearZero_ _THEN_ _sDBlueWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	_oDBlueWHyp_= _IF_ _sDBlueWHyp_ _GT_ _NearZero_ _THEN_ _sDBlueWHyp_ / _MassHyp_ _ELSE_ _NearZero_ _ENDIF_	TRUE	TRUE	TRUE	_oDBlueWH_	oDBlueWH	oDBlueWH																																																	
