lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet1	sSet2	sSet3	sSet1Changed	sSet2Changed	sSet3Changed	sDescription	sRemarks	-1	Open water	shortName	_InclTran_	_InclPrim_	_InclPhytS_	_InclBed_	_InclWeb_	_InclMarsh_	Duflow		
71	0	0	0	0	_mDLoadIMEpi_	_gDW_*_m_^-2*_d_^-1	0	0	-99999	-99999	-99999	-99999	TRUE	TRUE	TRUE	Optional_input_table	Forcing	-1	Measured_time-series_of_loading_of_DW_of_inorg_matter_for_epilimnion	mDLoadIM	0	0	0	0	0	0	XT		
72	0	0	0	0	_StartTime_	_d_	0	0	0	0	0	0	TRUE	TRUE	TRUE	Invoer	Runtime	-1	Day_of_the_year_that_the_model_run_will_start	StTime	0	0	0	0	0	0	PARM		
73	0	0	0	0	_EndTime_	_d_	0	0	365	365	365	365	TRUE	TRUE	TRUE	Invoer	General	-1	(=1_year)	EndTime	0	0	0	0	0	0	PARM		
74	0	0	0	0	_YearZero_	_y_	0	0	0	0	0	0	TRUE	TRUE	TRUE	Parameter	Runtime	-1	Year_number_of_start_of_calculation_Note_also_Day_no_1_=_1_Jan_of_this_year	YearZero	0	0	0	0	0	0	PARM		
75	0	0	0	0	_cDepthWInit0_	_m_	0	0	2	2	15	15	TRUE	FALSE	FALSE	Switch	Depth	-1	Initial_average_depth_of_lake	cDepthW0	0	0	0	0	0	0	PARM		
76	0	0	0	0	_cMinDepthHypEpi_	_m_	0	0	0.01	0.01	0.01	0.01	TRUE	TRUE	TRUE	Switch	Depth	-1	Minimum_hypolimnion_or_epilimnion_depth	cMnephHE	0	0	0	0	0	0	PARM		
77	0	0	0	0	_cFetch_	_m_	800	1200	1000	1000	1000	1000	TRUE	TRUE	TRUE	Input_factor	Resuspension	-1	Wind_fetch	cFetch	0	0	0	0	0	0	PARM		
78	0	0	0	0	_fMarsh_	_m_^2*_m_^-2	0	0	0	0	0	0	TRUE	TRUE	TRUE	Input_factor	Marsh	-1	Relative_marsh_area_per_lake_area	fMarsh	0	0	0	0	0	0	PARM		
79	0	0	0	0	_fLutum_	0	0	0	0.1	0.1	0.1	0.1	TRUE	TRUE	TRUE	Input_factor	Inorg._matter	-1	Lutum_content_of_inorg_matter	fLutum	0	0	0	0	0	0	PARM		
80	0	0	0	0	_kExchW_	_d_^-1	0	0	1	1	1	1	TRUE	TRUE	TRUE	Input_factor	Inorg._matter	-1	Rate_of_water_exchange_between_epilimnion_and_hypolimnion_in_case_of_water_level_difference_from_mixing_depth	kExchW	0	0	0	0	0	0	PARM		
81	0	0	0	0	_kExchMaxW_	_m_^2*_d_^-1	0	0	0.0001728	0.0001728	0.0001728	0.0001728	TRUE	TRUE	TRUE	Input_factor	Inorg._matter	-1	Maximum_diffusive_exchange_rate_of_water_between_epilimnion_and_hypolimnion	kExchMxW	0	0	0	0	0	0	PARM		
82	0	0	0	0	_cAMix_	_m_^-_cBMix_*_m_	0	0	0.569	0.569	0.569	0.569	TRUE	TRUE	TRUE	Input_factor	Depth	-1	Factor_for_mixing_depth_between_epilimnion_and_hypolymnion	cAMix	0	0	0	0	0	0	PARM		
83	0	0	0	0	_cBMix_	0	0	0	0.336	0.336	0.336	0.336	TRUE	TRUE	TRUE	Input_factor	Depth	-1	Factor_for_mixing_depth_between_epilimnion_and_hypolymnion	cBMix	0	0	0	0	0	0	PARM		
84	0	0	0	0	_cfHyp_	_m_^2*_m_^-2	0	0	1	1	1	1	TRUE	TRUE	TRUE	Input_factor	Inorg._matter	-1	Relative_hypolimnion_area_where_exchange_is_50_percent	cfH	0	0	0	0	0	0	PARM		
85	0	0	0	0	_fFeDIM_	_gFe_*_gDW_^-1	0	0	0.01	0.01	0.01	0.01	TRUE	TRUE	TRUE	Input_factor	Inorg._matter	-1	Fe_content_of_inorg_matter	fFeDIM	0	0	0	0	0	0	PARM		
86	0	0	0	0	_fAlDIM_	_gAl_*_gDW_^-1	0	0	0.01	0.01	0.01	0.01	TRUE	TRUE	TRUE	Input_factor	Inorg._matter	-1	Al_content_of_inorg_matter	fAlDIM	0	0	0	0	0	0	PARM		
87	0	0	0	0	_fVegShade_	0	0	0	0	0	0	0	TRUE	TRUE	TRUE	Parameter	Light	-1	Fraction_reduction_of_light_reaching_plants	fVShade	0	0	0	0	0	1	PARM		
88	0	0	0	0	_cTmAveEpi_	_oC_	0	0	12	12	12	12	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	Average_water_temperature_Epilimnion	cTmAveE	0	0	0	0	0	0	PARM		
89	0	0	0	0	_cTmVarEpi_	_oC_	0	0	10	10	10	10	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	Annual_water_temperature_variation_Epilimnion	cTmVarE	0	0	0	0	0	0	PARM		
90	0	0	0	0	_cTmAveHyp_	_oC_	0	0	5	5	5	5	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	Average_water_temperature_Hypolimnion	cTmAveH	0	0	0	0	0	0	PARM		
91	0	0	0	0	_cTmVarHyp_	_oC_	0	0	4	4	4	4	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	Annual_water_temperature_variation_Hypolimnion	cTmVarH	0	0	0	0	0	0	PARM		
92	0	0	0	0	_cStratTm_	_oC_	0	0	1	1	1	1	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	Temperature_difference_for_stratification	cStratTm	0	0	0	0	0	0	PARM		
93	0	0	0	0	_cTimeLag_	_d_	0	0	40	40	40	40	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	Time_lag_for_temperature	cTimeLag	0	0	0	0	0	0	PARM		
94	0	0	0	0	_cVWind_	_m_*_s^-1_	0	0	5	5	5	5	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	Average_wind_speed	cVWind	0	0	0	0	0	0	PARM		
95	0	0	0	0	_cQInSeep_	_mm_*_d_^-1	0	0	0	0	0	0	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	Seepage_rate_water_flow_from_groundwater_to_water_column	cQInSeep	0	0	0	0	0	0	PARM		
96	0	0	0	0	_cQOutInf_	_mm_*_d_^-1	0	0	0	0	0	0	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	Infiltration_rate_water_flow_from_water_column_to_groundwater	cQOutInf	0	0	0	0	0	0	PARM		
97	0	0	0	0	_cPBackLoad_	_gP_*_m_^-2*_d_^-1	0	0	0	0	0	0	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	Background_P_loading	cPBckoad	0	0	0	0	0	0	PARM		
98	0	0	0	0	_cNBackLoad_	_gP_*_m_^-2*_d_^-1	0	0	0	0	0	0	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	Background_N_loading	cNBckoad	0	0	0	0	0	0	PARM		
99	0	0	0	0	_cLDayAve_	_J_*_m_^-2*_d_^-1	0	0	10000000	10000000	10000000	10000000	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	Annual_average_radiation	cLDayAve	0	0	0	0	0	0	PARM		
100	0	0	0	0	_cLDayVar_	_J_*_m_^-2*_d_^-1	0	0	8000000	8000000	8000000	8000000	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	Annual_variation_in_radiation	cLDayVar	0	0	0	0	0	0	PARM		
101	0	0	0	0	_cfDayAve_	_h_*_h_^-1	0	0	0.5	0.5	0.5	0.5	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	Average_day_length	cfDayAve	0	0	0	0	0	0	PARM		
102	0	0	0	0	_cfDayVar_	0	0	0	0.2	0.2	0.2	0.2	TRUE	TRUE	TRUE	Input_factor	Forcing	-1	Annual_variation_in_day_length	cfDayVar	0	0	0	0	0	0	PARM		
103	0	0	0	0	_fRefl_	0	0	0	0.2	0.2	0.2	0.2	TRUE	TRUE	TRUE	Input_factor	Light	-1	The_fraction_photosynthetically_active_radiation_reflected_at_the_surface	fRefl	0	0	0	0	0	0	PARM		
104	0	0	0	0	_cExtWat_	_m_^-1	0	0	0.5	0.5	0.5	0.5	TRUE	TRUE	TRUE	Input_factor	Light	-1	Background_extinction	cExtWat	0	0	0	0	0	0	PARM		
105	0	0	0	0	_cDredInterval_	_y_	0	0	9999000	9999000	9999000	9999000	TRUE	TRUE	TRUE	Input_factor	Dredging	-1	Dredging_interval	cDrInval	0	0	0	0	0	0	PARM		
106	0	0	0	0	_cDredStart_	_y_	0	0	9999000	9999000	9999000	9999000	TRUE	TRUE	TRUE	Input_factor	Dredging	-1	First_dredging_year_(should_be_n_times_cDredInterval_)	cDrdSart	0	0	0	0	0	0	PARM		
107	0	0	0	0	_cDepthRef_	_m_	0	0	1E-28	1E-28	1E-28	1E-28	TRUE	TRUE	TRUE	Input_factor	Dredging	-1	Reference_water_depth_for_dredging	cDeptRef	0	0	0	0	0	0	PARM		
108	0	0	0	0	_cLengDred_	_d_	0	0	10	10	10	10	TRUE	TRUE	TRUE	Input_factor	Dredging	-1	Length_of_dredging_period	cLengred	0	0	0	0	0	0	PARM		
109	0	0	0	0	_fEffDred_	0	0	0	0.95	0.95	0.95	0.95	TRUE	TRUE	TRUE	Input_factor	Dredging	-1	Dredging_efficiency_(<10)	fEffDred	0	0	0	0	0	0	PARM		
110	0	0	0	0	_fEffDredBent_	0	0	0	0.5	0.5	0.5	0.5	TRUE	TRUE	TRUE	Input_factor	Dredging	-1	Dredging_efficiency_for_zoobenthos_(<10)	fEfreent	0	0	0	0	0	0	PARM		
111	0	0	0	0	_fPAR_	0	0	0	0.48	0.48	0.48	0.48	TRUE	TRUE	TRUE	Parameter	Light	-1	Fraction_photosynthetically_active_radiation_(PAR)	fPAR	0	0	0	0	0	1	PARM		
112	0	0	0	0	_cLAlloVeg_	_J_*_s_^-1*_m_^-1	0	0	50.1	50.1	50.1	50.1	TRUE	TRUE	TRUE	Parameter	Vegetation	-1	Integrated_relativized_light_level_at_which_the_plant_will_start_summer_regrowth_strategy	cLAlloV	0	0	0	0	0	1	PARM		
113	0	0	0	0	_cVegInitLen_	_d_	0	0	22	22	22	22	TRUE	TRUE	TRUE	Parameter	Vegetation	-1	Number_of_days_until_plant_is_allowed_to_break_from_summer_mode_and_redo_initial_allocation_given_summer_has_ended_and_restarted	cVIniLen	0	0	0	0	0	1	PARM		
114	0	0	0	0	_cVegWinLen_	_d_	0	0	22	22	22	22	TRUE	TRUE	TRUE	Parameter	Vegetation	-1	Number_of_days_until_plant_is_allowed_to_break_from_winter_mode_and_redo_winter_allocation_given_winter_has_ended_and_restarted	cVWinLen	0	0	0	0	0	1	PARM		
